,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,a,b,c,d,e,f,g,words
0,0,0,0,0,I,,\,/,Fire,https://book-of-thoth.net/Ace-of-Wands,https://en.wikipedia.org/wiki/Ace_of_Wands_(Tarot_card),accord adventure affirmed agendas akin allegory alluding ambiguity answering anthony archetypes aroused aspirations aspire avidity backed balancing beliefs bibliographical biographical brightest buber burst certainly challenge challenges clarity closely colleagues committed compendium comprehensive confident connotations consists copies curriculum day definitely delaying demonology diamonds dictate discover discuss dragon drawing edition education embodies encyclopedia entering enterprises entrepreneurship establishes evaluation excitement exhilaration expand expansive faithful famous flame flow flowering formulated gifts goals heading hearts heat herald hercules imbued indexes indication inflexible inna innate insisted inspirational introduction inventor islamic itai ivtzan leaping lefthand leslie lessons metaphysics moses motion mountains newly notes occultism occultist octave ones oneself organizing papus parapsychology passionate places powers primordial progress psyche psychic raising reassess rebuked review rivers rock rod sciences selves semetsky shepard sigils sought spades special starting succeed surge surround theories transforming unbending undergo underlying undertaking unseen ventures versions versus vigor virility volume wicked wrote yodh
1,1,1,1,1,II,,\,/,Dominion,https://book-of-thoth.net/Two-of-Wands-Dominion,https://en.wikipedia.org/wiki/Two_of_Wands,accomplishments address al ambitious assault basing behaviour biddytarot broadly charismatic clxxviii cols contains cooperate court crops delivered dorje ego egotistical endings energetic evoke explored eyed fertilize fierceness focuses fourteen fundamental gnomes impulsiveness initiating language liber meaningless metaphorical mirror ovum practitioners prince princess reaping refined rejoices relating repulsion resolution restless sagacious sensitive tick turbulent unassuaged unforgiving warm wide willing withal xlix youth
2,2,2,2,2,III,,\,/,Virtue,https://book-of-thoth.net/Three-of-Wands-Virtue,https://en.wikipedia.org/wiki/Three_of_Wands,blossom cessation commerce conceives enkindled facing identical mission onlooker prepares primeval rude sees spring thai traveling
3,3,3,3,3,I,V,\,/,Completion,https://book-of-thoth.net/Four-of-Wands-Completion,https://en.wikipedia.org/wiki/Four_of_Wands,amoun appearing assert bunches celebrants cloth conclusions decorative distant domestic doves establish faculty garlanding government graceful harvest haven hurriedness insincere jewish looks netting perfected poles reasoning reminiscent species summer tops unreadiness unsteady wedding
4,4,4,4,4,V,,\,/,Strife,https://book-of-thoth.net/Five-of-Wands-Strife,https://en.wikipedia.org/wiki/Five_of_Wands,allotted angels ashes banners benign bhavani brandishing centres claw coition daughters decante devotees dexter doctrines egyptians embitter fanatical ferox gentle hailed hath herent identify irrational kali limit meeting mitigating nubes pasht posse prodigality purely purgation resurrection saeva sakti schemhamphorash shiva sport strongest tameless thoroughly thumbs tooth unto volcanic weigh wished youths
5,5,5,5,5,V,I,\,/,Victory,https://book-of-thoth.net/Six-of-Wands-Victory,https://en.wikipedia.org/wiki/Six_of_Wands,adepts adorned ardour avoiding closed enclose footmen galvanize horseman lamps laurel laureled leadership mounted reception revolutionary shooting sociability stabilization steadily symbolically
6,6,6,6,6,V,II,\,/,Valour,https://book-of-thoth.net/Seven-of-Wands-Valour,https://en.wikipedia.org/wiki/Seven_of_Wands,army beaten braces brutal commonplace counteract decadence defender defending defensive degeneration departure diminished dint dispersed evidently exercised firm footing fortunately hill initial maintains passes perseveres pretence prodding regards relegated soldiers straddle strained stronger subordinates summoned systematic uneven unimportant unsatisfactory valour wrangling
7,7,7,7,7,V,III,\,/,Swiftness,https://book-of-thoth.net/Eight-of-Wands-Swiftness,https://en.wikipedia.org/wiki/Eight_of_Wands,angled conveys diagonal electrical electricity furnishes gardens intelligible landscape maxima meadows news noted oppressive pairs physics proceeding quickly rapacious rapid rapidity remaining robbery spectrum speed sports staggered subtilizing surmounting swiftly untrustworthy velocity vibrating warfare
8,8,8,8,8,I,X,\,/,Strength,https://book-of-thoth.net/Nine-of-Wands-Strength,https://en.wikipedia.org/wiki/Nine_of_Wands,aphorism apprehension arrow arrows curious delays directed disarray fail flaws herculean herefrom implying intractable joins obtained preceded prepared pursued questioning scientifically shaken standpoint stones tenfold tremendous unassailable weary
9,9,9,9,9,X,,\,/,Oppression,https://book-of-thoth.net/Ten-of-Wands-Oppression,https://en.wikipedia.org/wiki/Ten_of_Wands,bars burdening claws conflagrations detached devour disinterestedness elusive enormous evoked formidable illwill lengthened levity load luminous obligations obscure overbearing overburdened overload patents repression responsibility ridding seeing stupid swift wild
10,10,10,10,10,I,,U,U,Water,https://book-of-thoth.net/Ace-of-Cups,https://en.wikipedia.org/wiki/Ace_of_Cups,allow announces arriving attunement band blocked closeness connect determine developing diviner duration empathy explore forgiveness forthcoming furthermore guided inquirer interfering intimacy intuitive lead needed phrases planted presently productiveness recognize resembling spray sprays sprouts start stolistes suggestions supernal synchronistic telling timeline traced wants weasel week worded
11,11,11,11,11,II,,U,U,Love,https://book-of-thoth.net/Two-of-Cups-Love,https://en.wikipedia.org/wiki/Two_of_Cups,alchemy annihilation argent benefit bond bonding bring chance company compelling conflict conflicts course crowd develops diminish disharmony dividuality dolphin dolphins ecstasy entities entwined equivalent examined exclusion exclusionary expect factors fed floating flooding forgiven friendly gradually happening heroism hostile intensity jets join largest lucent mutual occupies occur outsiders pairing partnership partnerships peculiarly really reconcile reconciliation recovers renamed silver snakes sound sparkling staring strongly struggling superficially sure tendencies terminating twin unhealthy unions vibrations warning welcome
12,12,12,12,12,III,,U,U,Abundance,https://book-of-thoth.net/Three-of-Cups-Abundance,https://en.wikipedia.org/wiki/Three_of_Cups,abounding agreement ate befriend bountifully burke caring chalices charge contact convinces distrusted drinking eating enabling formal girls helping hospitality joining joyful lesson liberality merriment novel occurring organizations overhanging persephone pomegranate pomegranates pursue research rough sensuality services sharman signal souls studies superficial thesis wiccan witchcraft
13,13,13,13,13,I,V,U,U,Luxury,https://book-of-thoth.net/Four-of-Cups-Luxury,https://en.wikipedia.org/wiki/Four_of_Cups,alley approaching ascends awakens awkward cells conception consolidation construct curse discomfort drawbacks dyad eld emphasizing familiar finality gathered grasps hunting individuality injustice knew multiple period preparing qabalists refolding restriction ruffled secretly springs stabilized totally
14,14,14,14,14,V,,U,U,Disappointment,https://book-of-thoth.net/Five-of-Cups-Disappointment,https://en.wikipedia.org/wiki/Five_of_Cups,actual africa anticipated anxieties appreciate arid arises ascend ascendant chott dejection destroy detraction equinox fails focused geomancy hours instrument map milk north omen postpone putrefying remains requited sadness schools spilt unkindness unsuspected waterlilies winds
15,15,15,15,15,V,I,U,U,Pleasure,https://book-of-thoth.net/Six-of-Cups-Pleasure,https://en.wikipedia.org/wiki/Six_of_Cups,adults affront amiable analytical artificial assertion boy ceremonially chau childhood color comments contemplating corresponding detection doubled duke emotion emphatically enjoy enjoyment eucharist fierce foreign girl grouped gushes handing implicit influenced initiation instances interpreting know kwan lines na nostalgia offerings operates patient photo presumptuous promote purified putrefaction realize respond ruminations simpler smelling stuck thwan trigram unquestionable unwarranted younger
16,16,16,16,16,V,II,U,U,Debauch,https://book-of-thoth.net/Seven-of-Cups-Debauch,https://en.wikipedia.org/wiki/Seven_of_Cups,ambitions answers arise averse conjurer conjuring conscience copper delicate delusion diverge dragons drunkenness enquiries exact exception extreme figurine followed fornication guilty holiest inclusion invariable iridescent malarious morass neutralized obscene oracle outset overflows overhung overturned poisonous profaned recurs redoubles reminded retained seeker shadow shameful shrouded slime speculation supineness tarotologists tiger triangles ungrounded waist wholesome women
17,17,17,17,17,V,III,U,U,Indolence,https://book-of-thoth.net/Eight-of-Cups-Indolence,https://en.wikipedia.org/wiki/Eight_of_Cups,affections aside breaking complementary deadens depth disease disillusion disillusionment droop filling florescence fulfilling german greater horizon inaugurating incapable indolence intent irrelevant klingsor kundry lagoons lands links measles miasmatic muddy mysticism overpowered pallid perspective pools progressing psychopathology rain repining row runs sliow soil trickles turning vast weighed yellowish
18,18,18,18,18,I,X,U,U,Happiness,https://book-of-thoth.net/Nine-of-Cups-Happiness,https://en.wikipedia.org/wiki/Nine_of_Cups,acquisitio ambiguous amounts appreciating apt banquet beneficence beneficient brimful collectively consonance consult contented definite delicious denying difference differentiate dream enjoying excursions experiencing fulfilled ganymede hoped indulging laetitia lovable lunar maligned meal nectar novices numeric numerological obtaining pageant phuture pleased portend poured punch relief restores satisfied savoring share smugness strengthening symbology treacherously unpleasant unstinted vintage wishes
19,19,19,19,19,X,,U,U,Satiety,https://book-of-thoth.net/Ten-of-Cups-Satiety,https://en.wikipedia.org/wiki/Ten_of_Cups,arrange attacks boredom bunch conflicting contemplated disgust disrupted drug environment evident exploitation gross leads malkah ment peacemaking physically quarreling receives routine sephirah sideways sottish spill spiritualized springing stated supposed surmounts tilted town trast troubled unstable wantonness wonder
20,20,20,20,20,I,,ðŸž¡,ðŸž¡,Air,https://book-of-thoth.net/Ace-of-Swords,https://en.wikipedia.org/wiki/Ace_of_Swords,affirmation affliction brightness citing contrasted coverage demonic demonstrate fearfully hatred hilt invocation invokes mention notability olive property punishment supports topic topics trivial unclear upholding upward vaus
21,21,21,21,21,II,,ðŸž¡,ðŸž¡,Peace,https://book-of-thoth.net/Two-of-Swords-Peace,https://en.wikipedia.org/wiki/Two_of_Swords,abides antagonism asking awesome blindfolds calmly centered comparative compounds conceptually conffict contradictory disordered emits emitting emphasizes encourage equanimity exaltation governing harmonizing injury inward latent manifestations manifests martial onslaught outward paired pardoned petitions proceeds producing protects recall recalls regulate relations rely repetition retribution ritualistically shaking shoulders stimuli sympathy tension unafraid unselfish untruth wields z
22,22,22,22,22,III,,ðŸž¡,ðŸž¡,Sorrow,https://book-of-thoth.net/Three-of-Swords-Sorrow,https://en.wikipedia.org/wiki/Three_of_Swords,beneficent broods completing curved deceitful deeply discord extremely fundamentally grew interruption involves lordship lurking malaise mitigated monsters perversion pleasures repetitions secrecy separation singing sorrowful sowing spade storm tears trinity
23,23,23,23,23,I,V,ðŸž¡,ðŸž¡,Truce,https://book-of-thoth.net/Four-of-Swords-Truce,https://en.wikipedia.org/wiki/Four_of_Swords,administration advance andrew arbitrary argues butterfly cocoon coffin concerning convalescence convention dogma effigy eye foetid hail indolent intersection inwardly joyfully justification mell melting mess minds opening pell pot prayer precaution proclaims radiations reflects relaxation retreat shams sheathed shifting signalized singularity static stench sum term testament tomb
24,24,24,24,24,V,,ðŸž¡,ðŸž¡,Defeat,https://book-of-thoth.net/Five-of-Swords-Defeat,https://en.wikipedia.org/wiki/Five_of_Swords,acterized adonis ample attis busybody calamitous char contributions cybele dangerous declined degraded dionysus disaster disintegrated drenched dressed drooping effective empire enfeebled epicene evilspeaking fables false finally finished foul frayed generation grieving hating historian horus illustrations impression isis laborious malicious masters mode overconfidence pacifism parasitic parties pax plebs produces races rayed rites romana roused sentiment separator shabby slanderous slave sparta spiteful sterner swept tale ultimately unenduring unnecessary unresting unwilling vileness vilest years
25,25,25,25,25,V,I,ðŸž¡,ðŸž¡,Science,https://book-of-thoth.net/Six-of-Swords-Science,https://en.wikipedia.org/wiki/Six_of_Swords,changing channels declares esteem faculties hardly imminent influencing interpenetrating journeys kerub modesty ornamental passage perceptions rosy scientific solution squares travel
26,26,26,26,26,V,II,ðŸž¡,ðŸž¡,Futility,https://book-of-thoth.net/Seven-of-Swords-Futility,https://en.wikipedia.org/wiki/Seven_of_Swords,acts aggression attempting behavior betray blade break compliments confidences continuing diplomacy dishonor disposal dividing doing fascinated fashion feeble formation frustration grasp greed hasty impinging inclination inclined ingrained insolences intentionally legitimate partial planning prefer prey questioner reserves solving spy stealthy steps strives thoughtless thrusting toleration uncompromising vacillatory vain vehement wits wreckage
27,27,27,27,27,V,III,ðŸž¡,ðŸž¡,Interference,https://book-of-thoth.net/Eight-of-Swords-Interference,https://en.wikipedia.org/wiki/Eight_of_Swords,acute admires afraid angle applies attends bind cage characteristics cleanup constrain counterbalanced damned domineering don downward endure entrap europe guess immobile knots kriss kukri ll machete occupied peculiar persistence pettiness presents produce remind ribbons ropes scramasax tagged thanks thwarted tied tying weakened yataghan
28,28,28,28,28,I,X,ðŸž¡,ðŸž¡,Cruelty,https://book-of-thoth.net/Nine-of-Swords-Cruelty,https://en.wikipedia.org/wiki/Nine_of_Swords,acceptance agitated ahead automatic burden calculated chances comfort dealing degenerating devils dishonesty distrust doubts dr dreaming dreamy extent fanatic guilt hanging heartless heavily hopeful hunger imagined imprisonment inquisitor instigated instincts institutionalization james lengths lies martyr martyrdom materialize merely nightmare numerical operating parts pierce pitilessness plagued porter premonitions problematic psychopath rectified resignation resistance restraint rusty scandal sharp sleeping stab stirring striking suicide suspicion tell unenlightened unfounded unlikely utterly varying worries
29,29,29,29,29,X,,ðŸž¡,ðŸž¡,Ruin,https://book-of-thoth.net/Ten-of-Swords-Ruin,https://en.wikipedia.org/wiki/Ten_of_Swords,affecting amused anguish apollo ascribed bleak bleeding bob bootleg bottoming bud cbs college consisted counsels creates curiously damping disdain disperse dylan emphasis episode examination goldberg hopelessness hovering impertinence improve inch interlacing joe jollity knotted kwai logic loving lunatics macmillan mad marplot mechanism mirage modification occupy officers overthrow patron phallus philosophers pinned positions procedure professor purge qabalistic ramshackle records repeater ruining sages scholars shatter signification soulless splinters stir strings suitable thoth trigrams troubling undisciplined unmitigated unreleased viewing vinyl warring watery
30,30,30,30,30,I,,O,O,Earth,https://book-of-thoth.net/Ace-of-Disks,https://en.wikipedia.org/wiki/Ace_of_Coins,charged circumference crosses innermost issueth materiality terminate whereon
31,31,31,31,31,II,,O,O,Change,https://book-of-thoth.net/Two-of-Disks-Change,https://en.wikipedia.org/wiki/Two_of_Coins,accention argumentative dextro dress duplicated elated enter everchanging hsiang inconsistent infinite inharmonious juggle juggling jump laevorotatory maintain manufacturer melancholy pantacles ribbon rulers skin tail unaccountably unsure wandering yang yin
32,32,32,32,32,III,,O,O,Works,https://book-of-thoth.net/Three-of-Disks-Works,https://en.wikipedia.org/wiki/Three_of_Coins,alphabet attributes banal cold commercial concerns constructive denari erection grey impossibilities keen mem mottled paid prejudiced preoccupation pyramid rajas renown salt sattvas situated sloppiness solidified substance sulphur tamas tint working
33,33,33,33,33,I,V,O,O,Power,https://book-of-thoth.net/Four-of-Disks-Power,https://en.wikipedia.org/wiki/Four_of_Coins,agnate anglo attributions azure blown channel chaste cheth class coombe cwen cwm cyst defence dimensions disposed elimination enclosed eni exhibited far fields flecked fortress g gas generating germanic gimel gothic guarded guttur guttural gwen hoards icelandic incest indo innumerable kaph khwan kvan kwens kwoen mercian moat northward nutrition prejudicial prospect qoph radicle reproduction respiration revolution revolve sanskrit save saxon softened sounds spendthrift throat turns valid valley violently warns xviii
34,34,34,34,34,V,,O,O,Worry,https://book-of-thoth.net/Five-of-Disks-Worry,https://en.wikipedia.org/wiki/Five_of_Coins,acuteness affinity bay bell breakup buzzards charities colony concordance crippled crutches destitution determined disrupt earthly earthquake effect experienced fighting foe foretells foundations glass harsh husband ignore ignoring insistent leper lepers markings mistress monetary neck newenglandhistoricalsociety obviously organism profession quagmire recently regained rejection repelled satisfy severe shut slowly stern surely tatvas tragic types uncertain unimaginative upset warn wife windows worsens
35,35,35,35,35,V,I,O,O,Success,https://book-of-thoth.net/Six-of-Disks-Success,https://en.wikipedia.org/wiki/Six_of_Coins,accordance amber blushes describing distressed distributes expectations giver glows grateful idolized imbalance irradiated jealousy liberal madder mathematically motives needy pink prodigal purse raises reaffirms realized recipient recipients redistribution salmon societal successful undertakings weighs
36,36,36,36,36,V,II,O,O,Failure,https://book-of-thoth.net/Seven-of-Disks-Failure,https://en.wikipedia.org/wiki/Seven_of_Coins,assess assurance atmosphere baseness bees birds blight blotched clock commitment crushed cultivator customary deceived denotes eat employments enfeebling food gains insects investment isolated ladybugs loser losses mantis menacing mulch orange overhang praying promising properly reward rewards slavery speculations spoiled winter
37,37,37,37,37,V,III,O,O,Prudence,https://book-of-thoth.net/Eight-of-Disks-Prudence,https://en.wikipedia.org/wiki/Eight_of_Coins,agriculturalist artificer avaricious awaiting belongs commentary commission congruous craftsmanship exaction exhibits fallow fertile helpful hoarding ingenious intrigue lovingly lowermost manoeuvre penny plough pound preparatory prepare renew retiring rulership stone sums thun tide trophies usury voided withdrawing
38,38,38,38,38,I,X,O,O,Gain,https://book-of-thoth.net/Nine-of-Disks-Gain,https://en.wikipedia.org/wiki/Nine_of_Coins,accepts affairs aristocrat aristocratic arm attending buy comforts complacent complicate degrade demeanor denoted descent estate facial falcon favour financials finding fine h hexagon hooded impoverished inadequate independence inscrutability knavery learn lofty lonely mingling multiplication negatively neutral perfectionistic plateau popularity positively proximity pursuits refinement remark rests ring shell spending testify treasuring unaware upbringing
39,39,39,39,39,X,,O,O,Wealth,https://book-of-thoth.net/Ten-of-Disks-Wealth,https://en.wikipedia.org/wiki/Ten_of_Coins,accumulation acquired affluence architect arithmetician associate bonum cipher coin conjunctio devoting dullness elemental extremity futility geometer impasse inert kabbalistic lingam logos macrocosm mix pinnacle plainly produced prosperous regeneration sic sit slothfulness solidification summum uniting vobis yoni
40,40,40,40,40,,,,,The Fool,https://book-of-thoth.net/Atu-O-The-Fool,https://en.wikipedia.org/wiki/The_Fool_(Tarot_card),adds assign awaits awarded babe badly barefoot baser bearded beginners bells belongings bewrayment bindle bundle cartomancy cat categorize category chased checkmate chooses dealt declarations declare delirium discusses dummet earliest eccentricity edwin egg elect emblematic endeavours entirely exceptions exchange excuse excuses extend extra extravagance fairytale feathers following france frenzy frequently gaming graal hair historic hood iggy igor impulses indicating intelligent intoxication labelled lampeter lance laughter loosely loses madman mania mayest mcleod meld mellen nd nouveau occurs official opponents originating ornery pants persona personas pile possessions precedent precipice prints protagonist protagonists quarter received redeal relate rent reserved rightly roles sand scoring sedici shoes silent sing slung stick stockings strange surviving survivor taker takes tarock team throw tournament traditionally transcend treated tricks trumps unique unknowingly unruly untapped vagabond valuable wander weakest winner wins xxii yield
41,41,41,41,41,I,,,,The Magus,https://book-of-thoth.net/Atu-I-The-Magus,https://en.wikipedia.org/wiki/The_Magician_(Tarot_card),adapts added addition adonai adroitness aliste analysis archaic association athame awards bagatto baton belt brain brauner brim broad butler capture channeling concrete conduit consecration context contexts converting costume counters counting curves defined demonstrating derive details differently displaying egotism eighth elasticity ended essentials eternity experts free fulfill function gnostic goblet graham granted guggenheim iconic illustration inexperience infinity inherently items jodorowsky jon juggler knife labeled le leg legs lens macrocosmic manipulating meetings messages metaphysical motive museum myth organs outdoors outranking p perceived players polarised pollack portrait pp prototype recontextualized reorganizing schocken score sex sicilian societies statement succeeding suppressed surr surrealist tapping tarocchi technological toronto translated trickster unfocused unification unmanifested unrecognized visual visually wildly wills winning wizard woodcuts workings writers
42,42,42,42,42,II,,,,The Priestess,https://book-of-thoth.net/Atu-II-The-Priestess,https://en.wikipedia.org/wiki/The_High_Priestess,ardor arthur autumn b bembo bohemia bonifacio breast burned c captain catholics cost crescents cult died disguised dismissed dominated dummett edward elected embroidered enters exterminated feast february flora fluctuation followers fracasse gallery gave gown gracious guards guglielma historians inaugurate incarnation inquisition inscriptions inside inviting joachim joan july juno lap leader led legendary liability lombardy maggiore manfreda mantle maria married milan national noticeable nun office papesse pentecost popes popesses probably proceeded prophesied relative reliable roman rosenwald santa scroll sect sheet sister sisters stake supposedly temple tenacity tora umiliata uncut unrevealed untitled veiling vessels washington wealthy woodcut
43,43,43,43,43,III,,,,The Empress,https://book-of-thoth.net/Atu-III-The-Empress,https://en.wikipedia.org/wiki/The_Empress_(Tarot_card),accustomed archetype believes born clandestine connects elegance embodiment encourages feeding femininity fruitful germination graciousness grain growing heraldic idleness inferior kris meant midst nurturer possess pregnant productivity rejoicings repository responsible restore seeded starry subconscious superior thousands unraveling waldherr waterfall wholeness wildlife
44,44,44,44,44,I,V,,,The Emperor,https://book-of-thoth.net/Atu-IV-The-Emperor,https://en.wikipedia.org/wiki/The_Emperor_(Tarot_card),atop benevolence bow caught censorship chesca clamp conviction credit del emperors globe got greenman greenwood immaturity impracticability kyougo louis makers martinie megalomania minchiate monou obstruction orleans osho overweening parallel potter protection quarrelsomeness regulation removal secular skis sleigh stark sterility toro turks ultimate unyielding voodoo wildwood zen
45,45,45,45,45,V,,,,The Hierophant,https://book-of-thoth.net/Atu-V-The-Hierophant,https://en.wikipedia.org/wiki/The_Hierophant,alliance alternate attempt belief captivity commonly counterpart dechristianise deity depictions did disagreed disciplined disobedience egypt encountered evidence explanation feminist gebelin goodness invented mercy military mistaken northern papess placidity political pontiff portion recourse reformation ritual servitude skyward society stubborn teacher triple view worshippers
46,46,46,46,46,V,I,,,The Lovers,https://book-of-thoth.net/Atu-VI-The-Lovers,https://en.wikipedia.org/wiki/The_Lovers,brow childishness cleric comprising consequences content contradiction contradition correspondence dan ette fergus hall jane lifestyle lightly listing live millennials noble openness partners popular prop ramifications reducing reorganize repeatedly sacrificed selection seymour significantly sixth solitaire steely thoughtfulness traditions trials triviality trunk versa vice wrapped
47,47,47,47,47,V,II,,,The Chariot,https://book-of-thoth.net/Atu-VII-The-Chariot,https://en.wikipedia.org/wiki/The_Chariot_(Tarot_card),canopy charioteer crowned digestion helmeted horses intended litigation maintaining mallet masonic presumption providence rapture ruthlessness sangraal steeds succour vengeance
48,48,48,48,48,V,III,,,Adjustment,https://book-of-thoth.net/Atu-VIII-Adjustment,https://en.wikipedia.org/wiki/Justice_(Tarot_card),adjustment agreements bias bigotry complications departments deserving equity executive fit follows justesse legal numbering pending politically probity prosecutions rightness socially suspension switch switched teachings treaties vary viii worked
49,49,49,49,49,I,X,,,The Hermit,https://book-of-thoth.net/Atu-IX-The-Hermit,https://en.wikipedia.org/wiki/The_Hermit_(Tarot_card),barrington caution colby concealment connote discretion disguise dissimulation gather guidance happens helps introspect jacket lamp lantern lit mature navigate participation patriarch purple retirement roguery seeks seeth sleeve thoughtful treason unknowing unreasoned voice wiser
50,50,50,50,50,X,,,,Fortune,https://book-of-thoth.net/Atu-X-Fortune,https://en.wikipedia.org/wiki/Wheel_of_Fortune_(Tarot_card),ag alchemical aligned alternating attended attired cannon clockwise constable consultation counter crested developed discs drury elevation ellen evangelists felicity headdress history lettering ller llewellyn modeled necessarily neville personified presided publishing r reed rich robin spoked spokes station style summit transliterated varies whilst witches
51,51,51,51,51,X,III,,,Death,https://book-of-thoth.net/Atu-XIII-Death,https://en.wikipedia.org/wiki/Death_(Tarot_card),authors bathed behold benefactor bishops broader classes commoners complements curve dying emblazoned increased involuntary lethargy logical maid mortality opposites personification petrifaction prone reaper redirects rejoice royalty scythe sickle sleep somnambulism spinner titled towers trance transformation uncommon voluntary whirls wielding
52,52,52,52,52,I,V,X,,Art,https://book-of-thoth.net/Atu-XIV-Art,https://en.wikipedia.org/wiki/Temperance_(Tarot_card),accommodation accurate androgynous angel attainment calculation churches coleman competing contemporary derivative disunion drink freely frugality historically included invariably manoeuvres marry moderation pamela pearl priesthood receptacle religions sects statue unfortunate vase
53,53,53,53,53,X,V,,,The Devil,https://book-of-thoth.net/Atu-XV-The-Devil,https://en.wikipedia.org/wiki/The_Devil_(Tarot_card),abandon aching altar antlers baphomet bat belly bestial breasts british chained chanting chronicon cod constantinople denotion dionysis et executed explains extraordinary fatality fifteenth folio forehead genitalia germ goat hooves imperatorum irresistibly knees levi lowered manuscript martinus ministries obsession oppaviensis pal pan pedestal pontificum portray predestined ravage round satan satyr smoke spells squats tails unscrupulous v vehemence
54,54,54,54,54,V,I,X,,The Tower,https://book-of-thoth.net/Atu-XVI-The-Tower,https://en.wikipedia.org/wiki/The_Tower_(Tarot_card),attempted balls beating ben biblical bolt bought captioned cheap clad concepts corresponds cowering crumbling destroys disgrace dislodged distraction distress door drums feature fleeing foudre freefall frightened gameplay graze hell indigence knocked liberation lighting lightning mackey mankind materialistic merges multicolored names nude packard paris preserve printed prison sawmill scantily section sheep shepherd split tongues tower unforeseen variety
55,55,55,55,55,V,II,X,,The Star,https://book-of-thoth.net/Atu-XVII-The-Star,https://en.wikipedia.org/wiki/The_Star_(Tarot_card),chakras clearness converging essences judgment jug kneels privation revelations smaller splendid uranus
56,56,56,56,56,V,III,X,,The Moon,https://book-of-thoth.net/Atu-XVIII-The-Moon,https://en.wikipedia.org/wiki/The_Moon_(Tarot_card),additionally bewilderment calumny cease darkest distaff domesticated drops emerges exit falsehood fertilizing fragments goest hour howl hysteria illuminates inconstancy madness moisture morning presence reflected reveal secondary shall shedding spindle spinning terror thread totaling unheeded vieville wolf
57,57,57,57,57,I,X,X,,The Sun,https://book-of-thoth.net/Atu-XIX-The-Sun,https://en.wikipedia.org/wiki/The_Sun_(Tarot_card),arrogance attained conscious flag frankness glory infant outcomes prevails renewed rides smiling sunflowers
58,58,58,58,58,X,I,X,,The World,https://book-of-thoth.net/Atu-XXI-The-Universe,https://en.wikipedia.org/wiki/The_World_(Tarot_card),accomplished accretion agents alpha ambience analogy antagonist appointed argue assiah ath atu automatically beasts beget blackness bodies candidates capable cefalu center chemical chemistry christ coldness compensating complement completeness composed compromised consequently constructing continuous continuously convenience conveniently cosmic dance dances delay discourse disintegration distinguish dryness dual dulness ehosen ellipse emana emigration enlarge exactly explained extension flight fold follow fore fourfold frames fullness genius glyph ha heavier heaviest hermes herschel heru hovers iler immobility initiates kerubim lady learned lends loops lovely maiden manipulates minutum mixed mobile mundum n neptune ninety ning nugatory observers ornament outermost particles pause pendant perseverance persistent philosophical polarity possessing primum prophet quinaries radiate radium reasonable recompense reconstituting repre representatives reproductive rigid route seekers sentative sepher servants seventy shemhamphorasch shewing shews shocks sicily slowest south spell spiral stages states stress subfuse sufficed sullivan suspended swim synthesis tau tenuous terrestrial theme theory thermo thermometer tion trans unable uranium velvet viously visible voyage watched wholly whorls worship wreath xix yetzirah zero
